ProductId,Area Code,Date,Inventory,Budget Sales,Budget Margin,Budget COGS,Budget Profit,Sales,Margin,COGS,Profit,Total Expenses,Marketing
1,209,2012-05-01,1215,130,-30,160,-80,106,-21,127,-84,63,40
1,209,2012-07-01,1832,100,-90,190,-150,87,-67,154,-138,71,49
1,209,2013-01-01,608,180,70,110,30,162,50,95,-3,55,30
1,209,2013-12-01,2947,120,-30,150,-90,109,-25,127,-131,63,40
1,216,2013-05-01,361,120,70,50,40,122,71,52,37,41,17
1,216,2013-09-01,410,130,80,50,50,133,72,53,42,44,17
1,234,2012-08-01,415,110,70,40,40,108,62,46,19,43,15
1,234,2013-11-01,411,130,80,50,50,147,79,59,49,46,19
1,234,2013-12-01,424,120,70,50,40,135,73,54,43,44,17
1,262,2012-01-01,312,120,70,50,30,120,66,54,13,53,20
1,262,2012-02-01,306,120,70,50,30,118,65,53,12,53,20
1,262,2012-03-01,301,120,70,50,30,120,66,54,13,53,20
1,262,2012-05-01,338,130,70,60,20,130,72,58,17,55,22
1,262,2012-11-01,391,110,60,50,20,121,67,54,14,53,20
1,262,2013-03-01,301,120,70,50,30,128,66,54,19,53,20
1,262,2013-07-01,403,130,70,60,20,132,74,59,25,52,22
1,262,2013-11-01,391,110,60,50,20,129,67,54,21,53,20
1,303,2012-02-01,766,250,150,100,120,243,144,99,105,39,27
1,303,2013-03-01,756,220,130,90,100,227,126,87,134,36,24
1,303,2013-12-01,959,290,170,120,130,322,179,123,199,45,34
1,319,2012-01-01,821,40,30,10,20,45,27,18,11,16,5
1,319,2012-07-01,854,60,40,20,30,61,36,25,17,19,7
1,319,2012-09-01,848,50,30,20,20,48,29,19,13,16,5
1,319,2013-02-01,818,40,30,10,20,48,27,18,15,17,5
1,319,2013-05-01,829,50,30,20,20,49,29,20,17,16,5
1,319,2013-06-01,843,60,40,20,30,57,35,23,25,16,6
1,319,2013-08-01,851,60,40,20,30,62,38,25,26,18,7
1,319,2013-09-01,848,50,30,20,20,51,29,19,19,16,5
1,330,2012-05-01,361,120,70,50,40,123,71,52,27,44,17
1,330,2012-11-01,411,130,80,50,50,138,79,59,33,46,19
1,330,2013-01-01,336,140,80,60,50,157,80,60,53,48,19
1,330,2013-02-01,329,140,80,60,50,149,80,60,49,47,19
1,414,2012-09-01,391,150,80,70,30,149,82,67,23,59,25
1,414,2013-05-01,338,130,70,60,20,129,72,58,23,51,22
1,414,2013-08-01,397,140,80,60,30,139,77,63,29,52,23
1,414,2013-10-01,385,120,80,40,50,134,70,56,22,55,21
1,419,2013-08-01,415,110,70,40,40,107,62,46,26,40,15
1,435,2012-02-01,956,200,110,90,70,165,90,75,46,44,23
1,435,2012-03-01,949,200,110,90,70,163,89,74,45,44,22
1,435,2012-04-01,965,200,110,90,70,167,91,76,47,44,23
1,435,2012-05-01,998,180,100,80,60,148,80,68,38,42,21
1,435,2012-06-01,1042,170,90,80,60,142,77,65,36,41,20
1,435,2012-07-01,1070,160,90,70,60,132,72,60,32,40,18
1,435,2012-10-01,1053,200,110,90,90,142,77,65,36,41,20
1,435,2012-12-01,1075,160,90,70,50,139,76,63,36,40,19
1,435,2013-03-01,949,200,110,90,70,174,89,74,67,44,22
1,435,2013-05-01,998,180,100,80,60,147,80,68,52,39,21
1,435,2013-06-01,1042,170,90,80,60,141,77,65,50,38,20
1,435,2013-08-01,1064,130,70,60,40,109,60,50,33,33,15
1,435,2013-09-01,1059,170,100,70,70,145,74,62,49,41,19
1,435,2013-10-01,1053,200,110,90,90,151,77,65,53,41,20
1,435,2013-11-01,1060,170,90,80,50,160,81,69,58,42,21
1,435,2013-12-01,1075,160,90,70,50,148,76,63,53,40,19
1,440,2012-10-01,405,110,70,40,60,123,71,52,26,45,17
1,503,2012-03-01,421,150,90,60,30,125,73,52,-3,76,47
1,503,2012-05-01,458,160,100,60,40,128,75,53,-2,77,48
1,503,2012-12-01,521,130,80,50,20,112,65,47,-7,72,42
1,503,2013-01-01,435,180,110,70,40,168,87,63,2,90,57
1,503,2013-04-01,433,150,90,60,30,133,73,52,-4,76,47
1,503,2013-06-01,496,130,80,50,30,106,63,44,-8,64,40
